id,genus,family,order
1,Indigofera,Fabaceae,Fabales
2,Ruellia,Acanthaceae,Lamiales
3,Quesnelia,Bromeliaceae,Poales
4,Hyobanche,Orobanchaceae,Lamiales
5,Chiangiodendron,Achariaceae,Malpighiales
6,Geonoma,Arecaceae,Arecales
7,Eugenia,Myrtaceae,Myrtales
8,Prunus,Rosaceae,Rosales
9,Sidalcea,Malvaceae,Malvales
10,Leptospermum,Myrtaceae,Myrtales
11,Coelogyne,Orchidaceae,Asparagales
12,Thamnea,Bruniaceae,Bruniales
13,Myrcia,Myrtaceae,Myrtales
14,Carex,Cyperaceae,Poales
15,Leontopodium,Asteraceae,Asterales
16,Viola,Violaceae,Malpighiales
17,Croton,Euphorbiaceae,Malpighiales
18,Moquiniella,Loranthaceae,Santalales
19,Stegolepis,Rapateaceae,Poales
20,Oxytropis,Fabaceae,Fabales
21,Lithocarpus,Fagaceae,Fagales
22,Inga,Fabaceae,Fabales
23,Oncosperma,Arecaceae,Arecales
24,Cephalocereus,Cactaceae,Caryophyllales
25,Terminalia,Combretaceae,Myrtales
26,Anthurium,Araceae,Alismatales
27,Cycas,Cycadaceae,Cycadales
28,Astragalus,Fabaceae,Fabales
29,Dudleya,Crassulaceae,Saxifragales
30,Centaurea,Asteraceae,Asterales
31,Rubia,Rubiaceae,Gentianales
32,Gladiolus,Iridaceae,Asparagales
33,Mouriri,Melastomataceae,Myrtales
34,Rubus,Rosaceae,Rosales
35,Pyrenaria,Theaceae,Ericales
36,Staurogyne,Acanthaceae,Lamiales
37,Draba,Brassicaceae,Brassicales
38,Jacquemontia,Convolvulaceae,Solanales
39,Schizolobium,Fabaceae,Fabales
40,Lithocarpus,Fagaceae,Fagales
41,Canastra,Poaceae,Poales
42,Palicourea,Rubiaceae,Gentianales
43,Cuphea,Lythraceae,Myrtales
44,Digitaria,Poaceae,Poales
45,Sphaeranthus,Asteraceae,Asterales
46,Tinospora,Menispermaceae,Ranunculales
47,Manihot,Euphorbiaceae,Malpighiales
48,Pogostemon,Lamiaceae,Lamiales
49,Psilostrophe,Asteraceae,Asterales
50,Acacia,Fabaceae,Fabales
51,Pseudoconnarus,Connaraceae,Oxalidales
52,Aconitum,Ranunculaceae,Ranunculales
53,Sterculia,Malvaceae,Malvales
54,Persoonia,Proteaceae,Proteales
55,Juncus,Juncaceae,Poales
56,Poa,Poaceae,Poales
57,Corydalis,Papaveraceae,Ranunculales
58,Lysimachia,Primulaceae,Ericales
59,Cotoneaster,Rosaceae,Rosales
60,Anthurium,Araceae,Alismatales
61,Olimarabidopsis,Brassicaceae,Brassicales
62,Lobelia,Campanulaceae,Asterales
63,Puya,Bromeliaceae,Poales
64,Bionia,Fabaceae,Fabales
65,Eremothera,Onagraceae,Myrtales
66,Coprosma,Rubiaceae,Gentianales
67,Jamesbrittenia,Scrophulariaceae,Lamiales
68,Inga,Fabaceae,Fabales
69,Aspilia,Asteraceae,Asterales
70,Paepalanthus,Eriocaulaceae,Poales
71,Cremanthodium,Asteraceae,Asterales
72,Parathesis,Primulaceae,Ericales
73,Solanum,Solanaceae,Solanales
74,Xylopia,Annonaceae,Magnoliales
75,Tectaria,Tectariaceae,Polypodiales
76,Gentiana,Gentianaceae,Gentianales
77,Leucospermum,Proteaceae,Proteales
78,Iris,Iridaceae,Asparagales
79,Senegalia,Fabaceae,Fabales
80,Rubus,Rosaceae,Rosales
81,Lupinus,Fabaceae,Fabales
82,Paspalum,Poaceae,Poales
