iter,test_err
1,1.263626
2,1.113003
3,1.029527
4,0.975032
5,0.946921
6,0.924362
7,0.909829
8,0.896216
9,0.885417
10,0.881693
11,0.875502
12,0.875457
13,0.868941
14,0.864523
15,0.870723
16,0.862419
17,0.866917
18,0.86838
19,0.86599
20,0.862637
21,0.865553
22,0.864968
23,0.868225
24,0.86814
25,0.864791
26,0.868438
27,0.867392
28,0.863182
29,0.869188
30,0.868064
31,0.870642
32,0.871834
33,0.872417
34,0.868845
35,0.873739
36,0.872274
37,0.884174
38,0.872728
39,0.870049
40,0.870633
41,0.879475
42,0.875246
43,0.879923
44,0.883054
45,0.881937
46,0.883352
47,0.883872
48,0.881388
49,0.880852
50,0.879398
51,0.878769
52,0.886093
53,0.887688
54,0.88748
55,0.886115
56,0.890189
57,0.89037
58,0.895504
59,0.890311
60,0.890878
61,0.889296
62,0.896845
63,0.890468
64,0.892429
65,0.895005
66,0.896004
67,0.899902
68,0.899481
69,0.893683
70,0.89284
71,0.898742
72,0.893869
73,0.889017
74,0.904655
75,0.90748
76,0.908791
77,0.898283
78,0.898358
79,0.899533
80,0.900413
81,0.899345
82,0.900322
83,0.900479
84,0.902721
85,0.901229
86,0.904486
87,0.908259
88,0.910013
89,0.900069
90,0.898759
91,0.901859
92,0.900178
93,0.901576
94,0.903188
95,0.90904
96,0.914325
97,0.906369
98,0.905637
99,0.902796
100,0.907455
101,0.904905
102,0.907277
103,0.903666
104,0.904031
105,0.906581
106,0.9066
107,0.910277
108,0.905445
109,0.900662
110,0.913579
111,0.90076
112,0.91051
113,0.903185
114,0.901623
115,0.909447
116,0.906412
117,0.908458
118,0.904673
119,0.909583
120,0.907766
121,0.915692
122,0.908663
123,0.903983
124,0.912388
125,0.913372
126,0.90668
127,0.910513
128,0.912038
129,0.908553
130,0.910974
131,0.91115
132,0.91005
133,0.908159
134,0.911165
135,0.912215
136,0.910488
137,0.909758
138,0.908423
139,0.904859
140,0.902208
141,0.912934
142,0.910775
143,0.911236
144,0.912498
145,0.905891
146,0.920015
147,0.917096
148,0.914796
149,0.916382
150,0.923605
151,0.907646
152,0.91481
153,0.914147
154,0.911234
155,0.918156
156,0.915404
157,0.91422
158,0.910693
159,0.917653
160,0.914533
161,0.919511
162,0.918529
163,0.912097
164,0.912629
165,0.905991
166,0.912304
167,0.912127
168,0.911548
169,0.907753
170,0.910547
171,0.911056
172,0.917913
173,0.914375
174,0.91539
175,0.922181
176,0.914604
177,0.914365
178,0.909546
179,0.917007
180,0.910932
181,0.916511
182,0.915413
183,0.904807
184,0.907156
185,0.903907
