id,genus,family,order
1,Cyphostemma,Vitaceae,Vitales
2,Leptobalanus,Chrysobalanaceae,Malpighiales
3,Verbesina,Asteraceae,Asterales
4,Minaria,Apocynaceae,Gentianales
5,Celtis,Cannabaceae,Rosales
6,Calochortus,Liliaceae,Liliales
7,Hypocalymma,Myrtaceae,Myrtales
8,Clavija,Primulaceae,Ericales
9,Cymbidium,Orchidaceae,Asparagales
10,Waltheria,Malvaceae,Malvales
11,Gentianopsis,Gentianaceae,Gentianales
12,Tillandsia,Bromeliaceae,Poales
13,Lycopodiella,Lycopodiaceae,Lycopodiales
14,Carex,Cyperaceae,Poales
15,Lotus,Fabaceae,Fabales
16,Sorbus,Rosaceae,Rosales
17,Arnica,Asteraceae,Asterales
18,Arctostaphylos,Ericaceae,Ericales
19,Ligularia,Asteraceae,Asterales
20,Deianira,Gentianaceae,Gentianales
21,Eucalyptus,Myrtaceae,Myrtales
22,Lippia,Verbenaceae,Lamiales
23,Haworthia,Asphodelaceae,Asparagales
24,Rhododendron,Ericaceae,Ericales
25,Ardisia,Primulaceae,Ericales
26,Goodenia,Goodeniaceae,Asterales
27,Luetzelburgia,Fabaceae,Fabales
28,Salvia,Lamiaceae,Lamiales
29,Andira,Fabaceae,Fabales
30,Keetia,Rubiaceae,Gentianales
31,Schizolaena,Sarcolaenaceae,Malvales
32,Eschweilera,Lecythidaceae,Ericales
33,Quercus,Fagaceae,Fagales
34,Calamus,Arecaceae,Arecales
35,Tocoyena,Rubiaceae,Gentianales
36,Adenanthos,Proteaceae,Proteales
37,Trichogoniopsis,Asteraceae,Asterales
38,Philodendron,Araceae,Alismatales
39,Xerochrysum,Asteraceae,Asterales
40,Acacia,Fabaceae,Fabales
41,Erigeron,Asteraceae,Asterales
42,Urvillea,Sapindaceae,Sapindales
43,Phyllanthus,Phyllanthaceae,Malpighiales
44,Alocasia,Araceae,Alismatales
45,Hieracium,Asteraceae,Asterales
46,Piper,Piperaceae,Piperales
47,Vitex,Lamiaceae,Lamiales
48,Eggelingia,Orchidaceae,Asparagales
49,Rustia,Rubiaceae,Gentianales
50,Erythrina,Fabaceae,Fabales
51,Isopogon,Proteaceae,Proteales
52,Paepalanthus,Eriocaulaceae,Poales
53,Trieenea,Scrophulariaceae,Lamiales
54,Marsilea,Marsileaceae,Salviniales
55,Hymenaea,Fabaceae,Fabales
56,Gahnia,Cyperaceae,Poales
57,Asplenium,Aspleniaceae,Polypodiales
58,Ternstroemia,Pentaphylacaceae,Ericales
59,Eleocharis,Cyperaceae,Poales
60,Alocasia,Araceae,Alismatales
61,Sorbus,Rosaceae,Rosales
62,Synandrodaphne,Thymelaeaceae,Malvales
63,Quercus,Fagaceae,Fagales
64,Photinia,Rosaceae,Rosales
65,Stylidium,Stylidiaceae,Asterales
66,Solanum,Solanaceae,Solanales
67,Thesium,Santalaceae,Santalales
68,Sesuvium,Aizoaceae,Caryophyllales
69,Cassinia,Asteraceae,Asterales
70,Forsteronia,Apocynaceae,Gentianales
71,Solanum,Solanaceae,Solanales
72,Burmeistera,Campanulaceae,Asterales
73,Cola,Malvaceae,Malvales
74,Vochysia,Vochysiaceae,Myrtales
75,Clematis,Ranunculaceae,Ranunculales
76,Seriphidium,Asteraceae,Asterales
77,Goodenia,Goodeniaceae,Asterales
78,Harpalyce,Fabaceae,Fabales
79,Deutzia,Hydrangeaceae,Cornales
80,Thrixspermum,Orchidaceae,Asparagales
81,Erica,Ericaceae,Ericales
82,Helichrysum,Asteraceae,Asterales
83,Hymenostegia,Fabaceae,Fabales
84,Dieffenbachia,Araceae,Alismatales
85,Sporobolus,Poaceae,Poales
86,Gentiana,Gentianaceae,Gentianales
87,Trigynaea,Annonaceae,Magnoliales
88,Carex,Cyperaceae,Poales
89,Graphistylis,Asteraceae,Asterales
90,Hedyosmum,Chloranthaceae,Chloranthales
91,Eugenia,Myrtaceae,Myrtales
92,Ricinocarpos,Euphorbiaceae,Malpighiales
93,Penstemon,Plantaginaceae,Lamiales
94,Arceuthobium,Santalaceae,Santalales
95,Eleocharis,Cyperaceae,Poales
96,Genista,Fabaceae,Fabales
97,Buddleja,Scrophulariaceae,Lamiales
98,Pilea,Urticaceae,Rosales
99,Kleinia,Asteraceae,Asterales
100,Anisoptera,Dipterocarpaceae,Malvales
101,Austromyrtus,Myrtaceae,Myrtales
102,Senna,Fabaceae,Fabales
103,Anemopaegma,Bignoniaceae,Lamiales
104,Miconia,Melastomataceae,Myrtales
105,Manulea,Scrophulariaceae,Lamiales
106,Stephanomeria,Asteraceae,Asterales
107,Richea,Ericaceae,Ericales
108,Tamarix,Tamaricaceae,Caryophyllales
109,Clerodendrum,Lamiaceae,Lamiales
110,Danaea,Marattiaceae,Marattiales
